Date,Open,High,Low,Close,Adj Close,Volume
2017-10-04,295.000000,298.000000,295.000000,298.000000,259.287476,68609
2017-10-05,299.000000,299.750000,298.000000,299.250000,260.375153,117948
2017-10-06,300.000000,305.000000,299.000000,305.000000,265.378143,108114
2017-10-09,302.500000,309.250000,302.500000,309.000000,268.858551,372912
2017-10-10,309.000000,312.500000,309.000000,311.750000,271.251312,175837
2017-10-11,311.000000,313.500000,310.000000,312.750000,272.121460,42373
2017-10-12,312.000000,312.500000,310.250000,310.750000,270.381226,110839
2017-10-13,310.000000,312.000000,304.424988,306.250000,266.465790,424884
2017-10-16,307.750000,309.313995,304.000000,305.500000,265.813202,109891
2017-10-17,306.500000,307.984985,304.250000,305.500000,265.813202,139490
2017-10-18,306.250000,307.500000,305.250000,306.000000,266.248230,157900
2017-10-19,306.000000,307.000000,303.500000,305.000000,265.378143,164648
2017-10-20,303.750000,307.500000,303.750000,306.625000,266.792053,137162
2017-10-23,307.000000,307.000000,306.100006,306.500000,266.683289,35558
2017-10-24,306.000000,307.750000,305.000000,306.000000,266.248230,139712
2017-10-25,306.250000,307.750000,305.500000,306.750000,266.900848,2629141
2017-10-26,307.000000,307.000000,304.750000,305.000000,265.378143,100253
2017-10-27,304.500000,306.250000,304.500000,306.250000,266.465790,88435
2017-10-30,307.500000,307.500000,305.500000,305.750000,266.030731,105537
2017-10-31,305.000000,305.750000,303.000000,305.000000,265.378143,106727
2017-11-01,304.500000,305.187988,303.500000,304.125000,264.616852,142570
2017-11-02,302.000000,303.875000,299.000000,300.500000,264.600555,79300
2017-11-03,301.500000,301.500000,300.274994,301.000000,265.040833,124636
2017-11-06,302.000000,305.250000,300.000000,304.500000,268.122711,319629
2017-11-07,304.000000,305.558990,301.250000,302.500000,266.361664,144388
2017-11-08,302.000000,306.500000,301.500000,303.000000,266.801910,457477
2017-11-09,302.250000,305.000000,302.250000,302.250000,266.141510,94248
2017-11-10,305.500000,308.000000,304.500000,307.500000,270.764343,142969
2017-11-13,306.000000,311.500000,306.000000,309.250000,272.305237,145023
2017-11-14,311.250000,314.750000,309.250000,314.125000,276.597809,298042
2017-11-15,312.250000,314.000000,312.250000,313.750000,276.267639,200736
2017-11-16,313.000000,313.963013,312.000000,313.000000,275.607178,372130
2017-11-17,313.750000,314.000000,311.500000,314.000000,276.487762,533383
2017-11-20,313.500000,314.000000,312.000000,312.000000,274.726715,111600
2017-11-21,314.500000,314.500000,312.500000,313.000000,275.607178,460698
2017-11-22,315.000000,315.250000,313.000000,315.250000,277.588501,202622
2017-11-23,315.000000,315.000000,313.000000,313.250000,275.827332,54415
2017-11-24,314.000000,315.750000,312.500000,313.000000,275.607178,309074
2017-11-27,315.000000,316.000000,314.000000,314.750000,277.148163,174572
2017-11-28,314.250000,316.000000,314.000000,315.500000,277.808563,203008
2017-11-29,315.000000,320.000000,315.000000,317.500000,279.569641,350862
2017-11-30,317.500000,321.250000,317.500000,318.750000,280.670288,504636
2017-12-01,319.500000,320.000000,318.000000,319.500000,281.330719,169393
2017-12-04,320.000000,323.000000,320.000000,321.250000,282.871643,293458
2017-12-05,321.750000,323.750000,321.000000,323.750000,285.072998,342778
2017-12-06,320.000000,320.500000,316.500000,318.250000,280.230011,198780
2017-12-07,319.250000,321.000000,318.250000,318.250000,280.230011,317141
2017-12-08,318.500000,320.250000,318.000000,319.500000,281.330719,87815
2017-12-11,318.500000,319.250000,312.000000,313.500000,276.047455,236790
2017-12-12,316.000000,316.000000,313.250000,315.500000,277.808563,134196
2017-12-13,315.250000,316.250000,315.000000,316.250000,278.468933,62431
2017-12-14,315.250000,316.250000,314.750000,316.000000,278.248840,52908
2017-12-15,316.000000,316.500000,314.750000,316.500000,278.689087,145151
2017-12-18,319.000000,319.000000,315.000000,318.750000,280.670288,235424
2017-12-19,318.750000,321.000000,318.000000,321.000000,282.651520,167216
2017-12-20,320.000000,323.250000,318.500000,322.500000,283.972290,281504
2017-12-21,322.250000,323.250000,321.000000,322.000000,283.532013,528126
2017-12-22,321.000000,324.000000,321.000000,323.250000,284.632721,77987
2017-12-27,321.000000,325.000000,320.000000,323.250000,284.632721,400426
2017-12-28,321.750000,327.750000,321.750000,326.000000,287.054199,225484
2017-12-29,328.500000,332.000000,328.500000,331.750000,292.117279,119323
2018-01-02,333.000000,342.000000,330.000000,342.000000,301.142761,462504
2018-01-03,340.000000,355.000000,339.000000,352.000000,309.948059,399462
2018-01-04,356.000000,356.000000,347.000000,350.000000,308.187012,747238
2018-01-05,348.000000,354.000000,348.000000,349.000000,307.306458,1243363
2018-01-08,354.000000,354.000000,350.000000,351.000000,309.067535,1047060
2018-01-09,353.000000,354.000000,350.000000,352.000000,309.948059,713184
2018-01-10,355.000000,355.000000,352.000000,354.000000,311.709106,622502
2018-01-11,354.000000,357.000000,352.000000,352.000000,309.948059,337677
2018-01-12,354.000000,354.000000,352.000000,353.000000,310.828613,1321377
2018-01-15,353.000000,357.000000,353.000000,356.000000,313.470215,416267
2018-01-16,356.000000,356.000000,353.000000,354.000000,311.709106,258307
2018-01-17,354.000000,354.000000,348.000000,350.000000,308.187012,377230
2018-01-18,350.000000,351.000000,349.000000,350.000000,308.187012,294350
2018-01-19,351.000000,354.000000,350.000000,353.000000,310.828613,365307
2018-01-22,355.000000,364.000000,354.000000,363.000000,319.633942,1644805
2018-01-23,364.000000,368.000000,364.000000,367.000000,323.156067,1032955
2018-01-24,366.000000,368.000000,364.000000,364.000000,320.514496,625138
2018-01-25,366.000000,368.000000,366.000000,367.000000,323.156067,391701
2018-01-26,368.000000,368.000000,366.000000,367.000000,323.156067,455341
2018-01-29,367.000000,370.000000,366.000000,366.000000,322.275543,267890
2018-01-30,367.000000,367.000000,362.000000,362.000000,318.753387,317417
2018-01-31,365.000000,365.000000,362.000000,364.000000,320.514496,179512
2018-02-01,364.000000,365.000000,363.000000,364.000000,320.514496,538855
2018-02-02,365.000000,365.000000,358.000000,360.000000,316.992340,387488
2018-02-05,357.000000,357.000000,325.000000,349.000000,307.306458,955207
2018-02-06,333.000000,335.000000,324.000000,332.000000,292.337433,1192507
2018-02-07,338.000000,350.000000,338.000000,347.000000,305.545410,743094
2018-02-08,344.000000,344.000000,339.000000,340.000000,299.381683,722388
2018-02-09,333.000000,336.000000,327.000000,334.000000,294.098450,374984
2018-02-12,339.000000,343.000000,331.000000,335.000000,294.979034,830322
2018-02-13,335.000000,340.000000,335.000000,338.000000,297.620575,201668
2018-02-14,339.000000,342.000000,336.000000,340.000000,299.381683,296188
2018-02-15,340.000000,346.000000,340.000000,345.000000,303.784332,301189
